,Unnamed: 0,isbn,book_title,book_author,year_of_publication,publisher,img_m,Summary,Language,Category
23859,23859,0590598848,"Demona's Revenge (Gargoyles, No. 2)",Francine Hughes,1995.0,Scholastic,http://images.amazon.com/images/P/0590598848.01.MZZZZZZZ.jpg,"A vengeful Gargoyle tries to destroy the clan&#39;s only human friend,
Elisa, a night-shift detective for the New York Police Department.
8-page color insert.",en,Gargoyles (Fictitious characters)
23861,23861,0590629719,Clifford's Sports Day,Norman Bridwell,1996.0,Scholastic,http://images.amazon.com/images/P/0590629719.01.MZZZZZZZ.jpg,9,9,9
23873,23873,0671023616,Postmortem (Kay Scarpetta Mysteries (Paperback)),Patricia Cornwell,1998.0,Pocket,http://images.amazon.com/images/P/0671023616.01.MZZZZZZZ.jpg,9,9,9
23954,23954,0671027387,Deception Point,Dan Brown,2002.0,Pocket,http://images.amazon.com/images/P/0671027387.01.MZZZZZZZ.jpg,9,9,9
24201,24201,0671042572,Jewel (Oprah's Book Club),Bret Lott,1999.0,Pocket,http://images.amazon.com/images/P/0671042572.01.MZZZZZZZ.jpg,9,9,9
24327,24327,0679450408,Silent Witness,Richard North Patterson,1997.0,Random House Inc,http://images.amazon.com/images/P/0679450408.01.MZZZZZZZ.jpg,"Years after being wrongfully accused of the murder of his first love,
Alison, successful San Francisco attorney Tony Lord returns to Lake
City, Ohio, to defend old friend Sam Robb, charged with killing one of
his students, and must confront ...",en,Fiction
24369,24369,0684848783,Tis : A Memoir,Frank McCourt,1999.0,Scribner,http://images.amazon.com/images/P/0684848783.01.MZZZZZZZ.jpg,"And now we have &#39;Tis, the story of Frank&#39;s American journey
from impoverished immigrant to brilliant teacher and raconteur. Frank
lands in New York at age nineteen, in the company of a priest he meets
on the boat.",en,Biography & Autobiography
24543,24543,0743486226,Angels & Demons,Dan Brown,2003.0,Atria,http://images.amazon.com/images/P/0743486226.01.MZZZZZZZ.jpg,9,9,9
24613,24613,0786863986,A Monk Swimming,Malachy McCourt,1998.0,Hyperion,http://images.amazon.com/images/P/0786863986.01.MZZZZZZZ.jpg,"This book covers the decade 1952-63, when Malachy roistered across the
U.S., Europe, and Asia, but spent most of his time in New York City.",en,Biography & Autobiography
24647,24647,0803251718,Crazy Horse,Mari Sandoz,1961.0,University of Nebraska Press,http://images.amazon.com/images/P/0803251718.01.MZZZZZZZ.jpg,"But it was Mari Sandoz, born not far from where Crazy Horse was born
and author of nearly two dozen books of western history, biography and
fiction, who first told the true story of the military leader of the
Oglala Sioux.",en,Oglala Indians
24651,24651,0804117934,The Silent Cry (William Monk Novels (Paperback)),Anne Perry,1998.0,Ivy Books,http://images.amazon.com/images/P/0804117934.01.MZZZZZZZ.jpg,"Victorian-era criminal investigator William Monk wonders if a
respected solicitor general found dead in a London slum or his barely
living son could be responsible for a series of rapes and beatings of
local prostitutes. Reprint.",en,Fiction
24672,24672,140003180X,The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency),ALEXANDER MCCALL SMITH,2004.0,Anchor,http://images.amazon.com/images/P/140003180X.01.MZZZZZZZ.jpg,9,9,9
24730,24730,155874262X,Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,1993.0,Health Communications,http://images.amazon.com/images/P/155874262X.01.MZZZZZZZ.jpg,"Features inspirational stories offering words of wisdom, hope, and
empowerment",en,Self-Help
24935,24935,0060987103,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1996.0,Regan Books,http://images.amazon.com/images/P/0060987103.01.MZZZZZZZ.jpg,"When Dorothy triumphed over the Wicked Witch of the West in L. Frank
Baum&#39;s classic tale, we heard only her side of the story. But what
about her arch-nemesis, the mysterious witch? Where did she come from?
How did she become so wicked?",en,Fiction
25261,25261,0151008116,Life of Pi,Yann Martel,2002.0,Harcourt,http://images.amazon.com/images/P/0151008116.01.MZZZZZZZ.jpg,"After the sinking of a cargo ship, a solitary lifeboat remains bobbing
on the wild blue Pacific.",en,Fiction
25431,25431,0375704965,A Judgement in Stone,Ruth Rendell,2000.0,Vintage Books USA,http://images.amazon.com/images/P/0375704965.01.MZZZZZZZ.jpg,9,9,9
25448,25448,0525947647,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken,2003.0,Dutton Books,http://images.amazon.com/images/P/0525947647.01.MZZZZZZZ.jpg,"Offers a whimsical critique of the Right, exposing their deceptive
practices, challenging conceptions about the media&#39;s liberal bias,
and identifying inconsistencies in the Bush administration.",en,Humor
25591,25591,0804111359,Secret History,DONNA TARTT,1993.0,Ballantine Books,http://images.amazon.com/images/P/0804111359.01.MZZZZZZZ.jpg,"Richard Papen, a relatively impoverished student at a New England
college, falls in with an exclusive clique of rich, worldly Greek
scholars and soon learns the dreadful secret that keeps them together.
Reissue.",en,Fiction
25758,25758,1558744150,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996.0,Health Communications,http://images.amazon.com/images/P/1558744150.01.MZZZZZZZ.jpg,9,9,9
25897,25897,0435272683,Great Expectations (Heinemann Guided Readers),John Milne,1995.0,Delta Systems,http://images.amazon.com/images/P/0435272683.01.MZZZZZZZ.jpg,"This is an Upper Level story in a series of ELT readers comprising a
wide range of titles - some original and some simplified - from modern
and classic novels, and designed to appeal to all age-groups, tastes
and cultures.",en,England
25898,25898,006102063X,Moving Pictures (Discworld Novels (Paperback)),Terry Pratchett,2002.0,HarperTorch,http://images.amazon.com/images/P/006102063X.01.MZZZZZZZ.jpg,9,9,9
25917,25917,006000438X,The Death of Vishnu: A Novel,Manil Suri,2002.0,Perennial,http://images.amazon.com/images/P/006000438X.01.MZZZZZZZ.jpg,9,9,9
25980,25980,0060013117,Night Watch,Terry Pratchett,2002.0,HarperCollins,http://images.amazon.com/images/P/0060013117.01.MZZZZZZZ.jpg,"He must track down a brutal murderer. He must find his younger self
and teach him everything he knows. He must whip the cowardly, despised
Night Watch into a crack fighting force -- fast. Because Sam Vimes
knows what&#39;s going to happen.",en,Fiction
25995,25995,0060199563,Thief of Time,Terry Pratchett,2001.0,HarperCollins Publishers,http://images.amazon.com/images/P/0060199563.01.MZZZZZZZ.jpg,"So don&#39;t put off till tomorrow what you could do today. Read Thief
of Time. Right this minute. Because tomorrow may not come. (You&#39;ll
have to read the book to find out why. This is a Terry Pratchett
novel, after all.) Tick .",en,Fiction
26012,26012,0060391448,Wicked : The Life and Times of the Wicked Witch of the West,Gregory Maguire,1995.0,HarperCollins,http://images.amazon.com/images/P/0060391448.01.MZZZZZZZ.jpg,"In Wicked, Gregory Maguire has taken the largely unknown world of Oz
and populated it with the power of his own imagination. Fast-paced,
fantastically real and supremely entertaining, this is a novel of
vision and re-vision.",en,Fiction
26051,26051,0060502320,"I've Got You, Babe",Karen Kendall,2002.0,Avon,http://images.amazon.com/images/P/0060502320.01.MZZZZZZZ.jpg,"From the first moment they meet, unlikely lovers Vanessa Tower, a
promer, quiet teacher, and Christopher &quot;Crash&quot; Dunmoor, a
wild, risk-taking adventurer and loner with no ties, find themselves
falling in love. Original.",en,Fiction
26057,26057,006052779X,Charlotte's Web Book and Charm (Charming Classics),E. B. White,2003.0,HarperFestival,http://images.amazon.com/images/P/006052779X.01.MZZZZZZZ.jpg,"Some Pig These are the words in Charlotte&#39;s web, high in the barn.",en,Juvenile Fiction
26061,26061,0060563079,Peter Pan: The Original Story (Peter Pan),J. M. Barrie,2003.0,HarperFestival,http://images.amazon.com/images/P/0060563079.01.MZZZZZZZ.jpg,"The adventures of the three Darling children in Never-Never Land with
Peter Pan, the boy who would not grow up.",en,Juvenile Fiction
26072,26072,0060809027,My Friend Flicka,Mary O'Hara,1988.0,Perennial,http://images.amazon.com/images/P/0060809027.01.MZZZZZZZ.jpg,9,9,9
26079,26079,0060930535,The Poisonwood Bible: A Novel,Barbara Kingsolver,1999.0,Perennial,http://images.amazon.com/images/P/0060930535.01.MZZZZZZZ.jpg,9,9,9
26573,26573,0060934700,Smoke and Mirrors: Short Fictions and Illusions,Neil Gaiman,2001.0,Perennial,http://images.amazon.com/images/P/0060934700.01.MZZZZZZZ.jpg,9,9,9
26608,26608,0060934719,stardust,Neil Gaiman,2001.0,Perennial,http://images.amazon.com/images/P/0060934719.01.MZZZZZZZ.jpg,9,9,9
26659,26659,0060976977,"Amazing Grace : Lives of Children and the Conscience of a Nation, The",Jonathan Kozol,1996.0,Perennial,http://images.amazon.com/images/P/0060976977.01.MZZZZZZZ.jpg,"The children in this book defy the stereotypes of urban youth too
frequently presented by the media.",en,Social Science
26672,26672,0061020699,Equal Rites (Discworld Novels (Paperback)),Terry Pratchett,2000.0,HarperTorch,http://images.amazon.com/images/P/0061020699.01.MZZZZZZZ.jpg,"Terry Pratchett&#39;s profoundly irreverent novels, consistent number
one bestsellers in England, have garnered him a revered position in
the halls of parody along with Mark Twain, Kurt Vonnegut, Douglas
Adams, and Carl Hiaasen.",en,Fiction
26711,26711,0061020702,The Light Fantastic (Discworld Novels (Paperback)),Terry Pratchett,2000.0,HarperTorch,http://images.amazon.com/images/P/0061020702.01.MZZZZZZZ.jpg,"Terry Pratchett&#39;s profoundly irreverent novels are consistent
number one bestsellers in England, where they have garnered him a
revered position in the halls of parody next to Mark Twain, Kurt
Vonnegut, Douglas Adams, and Carl Hiaasen.",en,Fiction
26760,26760,0061020710,The Color of Magic,Terry Pratchett,2000.0,HarperTorch,http://images.amazon.com/images/P/0061020710.01.MZZZZZZZ.jpg,"The Color of Magic is Terry Pratchett&#39;s maiden voyage through the
now-legendary land of Discworld. This is where it all begins--with the
tourist Twoflower and his wizard guide, Rincewind.",en,Fiction
26863,26863,0061040967,The Last Hero : A Discworld Fable (Discworld Novels (Hardcover)),Terry Pratchett,2001.0,HarperCollins,http://images.amazon.com/images/P/0061040967.01.MZZZZZZZ.jpg,9,9,9
26866,26866,0061050474,Jingo: A Discworld Novel (Discworld Series/Terry Pratchett),Terry Pratchett,1998.0,HarperPrism,http://images.amazon.com/images/P/0061050474.01.MZZZZZZZ.jpg,"Maybe it&#39;s in his boat tat travels under water--Leonard calls it a
&quot;Going Under-The-Water-Safely Device&quot;, or &quot;metal
sinking fish thing&quot; for short. (Just because he&#39;s an inventor
doesn&#39;t mean he&#39;s good at naming stuff.) But this is carrying
...",en,Fiction
26872,26872,0061052515,"Maskerade: A Novel of Discworld (Pratchett, Terry. Discworld Series (New York, N.Y.).)",Terry Pratchett,1997.0,HarperPrism,http://images.amazon.com/images/P/0061052515.01.MZZZZZZZ.jpg,"It&#39;s true, there&#39;s a ghost in the Opera House of Ankh Morpork.",en,Fiction
26879,26879,0061052523,Interesting Times: A Novel of Discworld,Terry Pratchett,1997.0,Harpercollins,http://images.amazon.com/images/P/0061052523.01.MZZZZZZZ.jpg,"&quot; -- Ancient Curse Another outrageously clever installment in the
Discworld files, &quot;Interesting Times&quot; reminds the world why
Terry Pratchett is considered the best fantasy and humor writer in the
English speaking world.",en,Fiction
26884,26884,0061092819,Together Alone,Barbara Delinsky,1996.0,HarperTorch,http://images.amazon.com/images/P/0061092819.01.MZZZZZZZ.jpg,"This is a romantic novel in the style of Danielle Steel, from the
author of &#39;A Woman Betrayed&#39; and &#39;Suddenly&#39;.",en,Fiction
26913,26913,0061094595,Calder Pride,Janet Dailey,2000.0,HarperTorch,http://images.amazon.com/images/P/0061094595.01.MZZZZZZZ.jpg,"Cat Calder&#39;s one-time affair with a gray-eyed stranger passing
through town produces a beautiful child she is determined to raise as
a Calder, but when a new gray-eyed Sheriff arrives in town, vicious
gossip ensues. Reprint.",en,Fiction
26940,26940,0062502174,The Alchemist: A Fable About Following Your Dream,Paulo Coelho,1993.0,HarperSanFrancisco,http://images.amazon.com/images/P/0062502174.01.MZZZZZZZ.jpg,9,9,9
26978,26978,0064401774,More Scary Stories To Tell In The Dark,Alvin Schwartz,1986.0,HarperTrophy,http://images.amazon.com/images/P/0064401774.01.MZZZZZZZ.jpg,"All those who enjoyed shuddering their way through Alvin
Schwartz&#39;s first volume of Scary Stories To Tell In The Dark will
find a satisfyingly spooky sequel in this new collection of the
macabre, the funny, and the fantastic.",en,Juvenile Fiction
26999,26999,0064471047,"The Lion, the Witch, and the Wardrobe (The Chronicles of Narnia, Book 2)",C. S. Lewis,1994.0,HarperCollins,http://images.amazon.com/images/P/0064471047.01.MZZZZZZZ.jpg,"Four English schoolchildren find their way through the back of a
wardrobe into the magic land of Narnia and assist Aslan, the golden
lion, to triumph over the White Witch, who has cursed the land with
eternal winter.",en,Juvenile Fiction
27077,27077,0064472264,"On the Bright Side, I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson",Louise Rennison,2002.0,HarperTempest,http://images.amazon.com/images/P/0064472264.01.MZZZZZZZ.jpg,Georgia Nicolson has started dating the Sex God (aka Robbie).,en,Juvenile Fiction
27107,27107,0066238501,Complete Chronicles of Narnia,C. S. Lewis,2001.0,Harpercollins Juvenile Books,http://images.amazon.com/images/P/0066238501.01.MZZZZZZZ.jpg,"This edition presents all seven books -- unabridged -- in one
impressive volume. The books are presented here according to
Lewis&#39; preferred order, each chapter graced with an illustration
by the original artist, Pauline Baynes.",en,Fiction
27136,27136,014028009X,Bridget Jones's Diary,Helen Fielding,1999.0,Penguin Books,http://images.amazon.com/images/P/014028009X.01.MZZZZZZZ.jpg,"This witty national bestseller is now available in paperback, allowing
readers to enjoy all over again the trials, tribulations, and triumphs
of a single woman determined to outlast her single status. Reprint.",en,Fiction
27406,27406,0140298479,Bridget Jones: The Edge of Reason,Helen Fielding,2001.0,Penguin Books,http://images.amazon.com/images/P/0140298479.01.MZZZZZZZ.jpg,9,9,9
27627,27627,0140328734,Danny the Champion of the World,Roald Dahl,1988.0,Puffin Books,http://images.amazon.com/images/P/0140328734.01.MZZZZZZZ.jpg,9,9,9
27635,27635,0140367470,The Three Musketeers (Puffin Classics),Alexandre Dumas,1995.0,Puffin Books,http://images.amazon.com/images/P/0140367470.01.MZZZZZZZ.jpg,"Records the heroic deeds of Athos, Porthos, Aramis, and d&#39;Artagnan
as defenders of Louis XIV",en,Juvenile Fiction
27644,27644,0140620664,Mansfield Park (Penguin Popular Classics),Jane Austen,1994.0,Penguin Books Ltd,http://images.amazon.com/images/P/0140620664.01.MZZZZZZZ.jpg,9,9,9
27665,27665,014100018X,Chocolat,Joanne Harris,2000.0,Penguin Books,http://images.amazon.com/images/P/014100018X.01.MZZZZZZZ.jpg,"Hailed as &quot;an amazement of riches few readers will be able to
resist&quot; by The New York Times Book Review, Chocolat is a timeless
and enchanting story about temptation, pleasure, and what a complete
waste of time it is to deny yourself ...",en,Fiction
27804,27804,0141301066,Matilda,Roald Dahl,1998.0,Puffin Books,http://images.amazon.com/images/P/0141301066.01.MZZZZZZZ.jpg,"Matilda applies her untapped mental powers to rid the school of the
evil, child-hating headmistress, Miss Trunchbull, and restore her nice
teacher, Miss Honey, to financial security.",en,Juvenile Fiction
27828,27828,0141301104,The Witches (Puffin Novels),Roald Dahl,1998.0,Puffin Books,http://images.amazon.com/images/P/0141301104.01.MZZZZZZZ.jpg,"This is not a fairy tale. This is about real witches. Grandmamma loves
to tell about witches. Real witches are the most dangerous of all
living creatures on earth.",en,Juvenile Fiction
27860,27860,0141310685,Westmark,Lloyd Alexander,2002.0,Puffin Books,http://images.amazon.com/images/P/0141310685.01.MZZZZZZZ.jpg,"Theo, a boy fleeing from criminal charges, falls in with a charlatan,
his dwarf attendant, and an urchin girl; travels with them about the
kingdom of Westmark; and ultimately arrives at the palace where the
king is grieving over the loss of ...",en,Juvenile Fiction
27863,27863,014143967X,Hard Times,Charles Dickens,2003.0,Penguin Books,http://images.amazon.com/images/P/014143967X.01.MZZZZZZZ.jpg,Edited with an Introduction and Notes by Kate Flint.,en,Fiction
27865,27865,0142001740,The Secret Life of Bees,Sue Monk Kidd,2003.0,Penguin Books,http://images.amazon.com/images/P/0142001740.01.MZZZZZZZ.jpg,"After her &quot;stand-in mother,&quot; a bold black woman named
Rosaleen, insults the three biggest racists in town, Lily Owens joins
Rosaleen on a journey to Tiburon, South Carolina, where they are taken
in by three black, bee-keeping sisters.",en,Fiction
28480,28480,014230218X,The Dreaming Place,Charles De Lint,2002.0,Firebird Books,http://images.amazon.com/images/P/014230218X.01.MZZZZZZZ.jpg,"When a manitou, a winter earth spirit that is withering and in need of
blood, fastens upon Nina, her sixteen-year-old cousin Ash enters the
Otherworld to stop the spirit.",en,Juvenile Fiction
